物件名,住所,間取り,家賃,階数,最寄りまでの時間
ＪＲ山手線 高田馬場駅 4階建 築1年,東京都新宿区高田馬場４,2K,11.1万円,"築1年
4階建",ＪＲ山手線/高田馬場駅 歩7分
ビルヴィオ東日暮里,東京都荒川区東日暮里４,2DK,13.9万円,"築8年
9階建",ＪＲ山手線/日暮里駅 歩10分
東京メトロ半蔵門線 押上駅 7階建 築6年,東京都墨田区向島３,2LDK,16.7万円,"築6年
7階建",東京メトロ半蔵門線/押上駅 歩10分
フェニックス板橋,東京都板橋区板橋２,2DK,12万円,"築14年
8階建",ＪＲ埼京線/板橋駅 歩10分
東京メトロ東西線 落合駅 6階建 築3年,東京都中野区東中野３,2DK,17.8万円,"築3年
6階建",東京メトロ東西線/落合駅 歩1分
ブルーシエル西新井大師,東京都足立区西新井６,2LDK,14万円,"築7年
7階建",東武大師線/大師前駅 歩8分
ツヴァイテ小竹向原,東京都練馬区小竹町２,2DK,15万円,"新築
4階建",東京メトロ副都心線/小竹向原駅 歩2分
プライムブリス蔵前,東京都台東区蔵前３,2LDK,19万円,"新築
13階建",都営大江戸線/蔵前駅 歩2分
都営三田線 春日駅 3階建 築6年,東京都文京区白山１,2K,9.1万円,"築6年
3階建",都営三田線/春日駅 歩7分
クレイシアＩＤＺ浅草,東京都台東区元浅草４,2K,10.3万円,"新築
11階建",東京メトロ銀座線/田原町駅 歩6分
ソライエアイル練馬北町,東京都練馬区北町３,2LDK,16.5万円,"築5年
6階建",東京メトロ有楽町線/地下鉄赤塚駅 歩7分
グランカーサ王子2,東京都北区王子３,2LDK,16.8万円,"新築
6階建",東京メトロ南北線/王子駅 歩10分
東京メトロ銀座線 田原町駅 11階建 新築,東京都台東区元浅草４,2K,10.3万円,"新築
11階建",東京メトロ銀座線/田原町駅 歩5分
ザ・プレミアムキューブG東中野,東京都中野区東中野５,2K,11.35万円,"新築
5階建",ＪＲ中央線/東中野駅 歩7分
東京メトロ銀座線 田原町駅 15階建 築10年,東京都台東区寿３,2K,15万円,"築10年
15階建",東京メトロ銀座線/田原町駅 歩4分
ＪＲ京浜東北線 王子駅 15階建 築2年,東京都北区王子本町１,2K,10.45万円,"築2年
15階建",ＪＲ京浜東北線/王子駅 歩6分
ガーラ・グランディ小竹向原,東京都板橋区小茂根４,2K,10万円,"築9年
5階建",東京メトロ有楽町線/小竹向原駅 歩6分
都営大江戸線 練馬駅 4階建 新築,東京都練馬区豊玉北６,2K,8.8万円,"新築
4階建",都営大江戸線/練馬駅 歩7分
ロイジェント梅丘,東京都世田谷区梅丘２,2LDK,17.4万円,"築3年
2階建",小田急線/豪徳寺駅 歩5分
ＪＲ京浜東北線 王子駅 14階建 新築,東京都北区豊島１,2K,10.3万円,"新築
14階建",ＪＲ京浜東北線/王子駅 歩9分
SYFORME OJIII,東京都北区豊島１,2K,10.3万円,"新築
14階建",ＪＲ京浜東北線/王子駅 歩9分
マキ東中野,東京都中野区東中野４,2K,15万円,"築15年
3階建",東京メトロ東西線/落合駅 歩3分
アムール,東京都品川区戸越５,2K,12.1万円,"築13年
3階建",東急大井町線/戸越公園駅 歩2分
東京メトロ銀座線 稲荷町駅 10階建 築8年,東京都台東区松が谷２,2K,15.5万円,"築8年
10階建",東京メトロ銀座線/稲荷町駅 歩7分
ハーモニーレジデンス中野本町パークサイド,東京都中野区本町５,2K,10.85万円,"築3年
4階建",東京メトロ丸ノ内線/中野新橋駅 歩6分
アイルプレミアム池袋ノルド,東京都板橋区板橋４,2K,12.5万円,"築2年
12階建",都営三田線/新板橋駅 歩2分
都営三田線 新板橋駅 12階建 築2年,東京都板橋区板橋４,2K,12.5万円,"築2年
12階建",都営三田線/新板橋駅 歩2分
kinomori代々木上原,東京都渋谷区上原２,2K,12.7万円,"新築
4階建",小田急線/代々木上原駅 歩7分
小田急線 代々木上原駅 2階建 新築,東京都渋谷区上原２,2K,13.1万円,"新築
2階建",小田急線/代々木上原駅 歩7分
レーヴ新井,東京都中野区新井２,2K,13.9万円,"築1年
3階建",ＪＲ総武線/中野駅 歩9分
コンフォリア二葉,東京都品川区二葉２,2K,11.8万円,"新築
6階建",ＪＲ横須賀線/西大井駅 歩8分
Ｆｉｋａ代々木上原,東京都渋谷区上原２,2K,15万円,"築5年
地下1地上5階建",東京メトロ千代田線/代々木上原駅 歩9分
ウェルスクエア神楽坂,東京都新宿区若宮町,2K,13.3万円,"新築
地下1地上5階建",都営大江戸線/牛込神楽坂駅 歩6分
小田急線 下北沢駅 2階建 築13年,東京都世田谷区代沢２,2K,12.2万円,"築13年
2階建",小田急線/下北沢駅 歩5分
下北沢テラス１,東京都世田谷区代沢２,2K,12.2万円,"築13年
2階建",小田急線/下北沢駅 歩5分
東急世田谷線 松陰神社前駅 4階建 築2年,東京都世田谷区若林３,2K,11.3万円,"築2年
4階建",東急世田谷線/松陰神社前駅 歩4分
ＪＲ山手線 日暮里駅 9階建 築8年,東京都荒川区東日暮里４,2DK,13.9万円,"築8年
9階建",ＪＲ山手線/日暮里駅 歩10分
ＪＲ中央線 飯田橋駅 8階建 築2年,東京都新宿区新小川町,2K,14.2万円,"築2年
8階建",ＪＲ中央線/飯田橋駅 歩6分
ＬＩＢＲ　ＧＲＡＮＴ　四谷三丁目,東京都新宿区四谷４,2K,13.1万円,"新築
地下1地上5階建",東京メトロ丸ノ内線/四谷三丁目駅 歩3分
東京メトロ丸ノ内線 四谷三丁目駅 地下1地上5階建 築2年,東京都新宿区四谷４,2K,13.1万円,"築2年
地下1地上5階建",東京メトロ丸ノ内線/四谷三丁目駅 歩3分
ARKMARK四谷左門町,東京都新宿区左門町,2K,14.4万円,"築2年
11階建",東京メトロ丸ノ内線/四谷三丁目駅 歩3分
東京メトロ丸ノ内線 四谷三丁目駅 11階建 築2年,東京都新宿区左門町,2K,14.4万円,"築2年
11階建",東京メトロ丸ノ内線/四谷三丁目駅 歩3分
パレスコートU鳥越,東京都台東区鳥越１,2DK,15万円,"築14年
11階建",ＪＲ総武線/浅草橋駅 歩7分
東京メトロ副都心線 東新宿駅 地下1地上4階建 新築,東京都新宿区大久保２,2K,19万円,"新築
地下1地上4階建",東京メトロ副都心線/東新宿駅 歩8分
プラージュ　リュー　押上,東京都墨田区向島３,2DK,16.5万円,"築6年
7階建",東京メトロ半蔵門線/押上駅 歩6分
東京メトロ半蔵門線 押上駅 7階建 築6年,東京都墨田区向島３,2DK,16.5万円,"築6年
7階建",東京メトロ半蔵門線/押上駅 歩6分
パークアクシス押上レジデンス,東京都墨田区向島３,2DK,16.7万円,"築6年
7階建",東武伊勢崎線/とうきょうスカイツリー駅 歩6分
東京メトロ有楽町線 護国寺駅 5階建 築3年,東京都文京区大塚５,2DK,14万円,"築3年
5階建",東京メトロ有楽町線/護国寺駅 歩3分
シーズンフラッツ錦糸町パークサイド,東京都墨田区緑４,2DK,16.2万円,"築3年
9階建",ＪＲ総武線/錦糸町駅 歩8分
ディームス上野御徒町,東京都台東区台東３,2DK,19.6万円,"築3年
13階建",都営大江戸線/新御徒町駅 歩5分
ｎｉｄｏ南千住,東京都荒川区南千住７,2DK,15.4万円,"新築
15階建",ＪＲ常磐線/南千住駅 歩7分
都営大江戸線 新御徒町駅 13階建 築3年,東京都台東区台東３,2DK,19.6万円,"築3年
13階建",都営大江戸線/新御徒町駅 歩5分
グレイス東尾久,東京都荒川区東尾久２,2LDK,12.1万円,"築6年
3階建",ＪＲ山手線/日暮里駅 歩14分
日暮里・舎人ライナー 赤土小学校前駅 3階建 築6年,東京都荒川区東尾久２,2LDK,12.1万円,"築6年
3階建",日暮里・舎人ライナー/赤土小学校前駅 歩2分
RisingPlace錦糸町二番館（ライジングプレイス）,東京都墨田区石原４,2DK,15.8万円,"築12年
7階建",ＪＲ総武線/錦糸町駅 歩10分
レジディア新御徒町II,東京都台東区小島２,2DK,17.9万円,"築9年
12階建",都営大江戸線/新御徒町駅 歩2分
東武東上線 下板橋駅 8階建 築14年,東京都板橋区板橋２,2DK,12万円,"築14年
8階建",東武東上線/下板橋駅 歩5分
ＪＲ中央線 飯田橋駅 地下1地上5階建 新築,東京都新宿区若宮町,2K,13.3万円,"新築
地下1地上5階建",ＪＲ中央線/飯田橋駅 歩8分
パークアクシス落合東中野,東京都中野区東中野３,2DK,17.8万円,"築3年
6階建",東京メトロ東西線/落合駅 歩1分
プラウド町屋,東京都荒川区荒川４,2LDK,19万円,"築1年
18階建",東京メトロ千代田線/町屋駅 歩6分
ｎｏｚｏｍｉｏ　ｐｒｅｍｉｅｒ目黒,東京都品川区上大崎３,2DK,18万円,"築5年
4階建",ＪＲ山手線/目黒駅 歩6分
エクセリア滝野川,東京都北区滝野川２,2LDK,16.6万円,"築2年
3階建",ＪＲ京浜東北線/王子駅 歩9分
trias184,東京都台東区浅草６,2LDK,16万円,"新築
5階建",東京メトロ銀座線/浅草駅 歩7分
ＪＲ総武線 浅草橋駅 11階建 新築,東京都台東区浅草橋２,2LDK,19.3万円,"新築
11階建",ＪＲ総武線/浅草橋駅 歩5分
都営浅草線 蔵前駅 10階建 築5年,東京都台東区三筋１,2LDK,19.8万円,"築5年
10階建",都営浅草線/蔵前駅 歩6分
アーバネックス蔵前,東京都台東区三筋１,2LDK,19.8万円,"築5年
10階建",都営大江戸線/新御徒町駅 歩11分
東京メトロ日比谷線 入谷駅 14階建 築2年,東京都台東区入谷２,2DK,16万円,"築2年
14階建",東京メトロ日比谷線/入谷駅 歩5分
東京メトロ銀座線 田原町駅 12階建 新築,東京都台東区寿１,2LDK,18.2万円,"新築
12階建",東京メトロ銀座線/田原町駅 歩5分
グランパセオ浅草橋II,東京都台東区浅草橋２,2LDK,19.3万円,"新築
11階建",ＪＲ総武線/浅草橋駅 歩5分
ＪＲ総武線 浅草橋駅 11階建 新築,東京都台東区浅草橋２,2LDK,19.3万円,"新築
11階建",ＪＲ総武線/浅草橋駅 歩5分
日暮里・舎人ライナー 西新井大師西駅 7階建 築7年,東京都足立区西新井６,2LDK,13.9万円,"築7年
7階建",日暮里・舎人ライナー/西新井大師西駅 歩7分
ルジェンテ・バリュ上野,東京都台東区上野７,2LDK,19万円,"築7年
13階建",ＪＲ山手線/上野駅 歩4分
都営大江戸線 飯田橋駅 4階建 築3年,東京都文京区春日１,2LDK,19.9万円,"築3年
4階建",都営大江戸線/飯田橋駅 歩6分
アーバネックス両国,東京都墨田区両国１,2LDK,18.5万円,"築2年
14階建",ＪＲ総武線/両国駅 歩5分
ＪＲ総武線 両国駅 14階建 築2年,東京都墨田区両国１,2LDK,18.5万円,"築2年
14階建",ＪＲ総武線/両国駅 歩5分
東武亀戸線 東あずま駅 6階建 築4年,東京都墨田区立花３,2DK,13.6万円,"築4年
6階建",東武亀戸線/東あずま駅 歩2分
ルフォンプログレ押上ＥＡＳＴ,東京都墨田区京島２,2LDK,18.6万円,"新築
7階建",京成押上線/京成曳舟駅 歩7分
東京メトロ半蔵門線 押上駅 7階建 新築,東京都墨田区京島２,2LDK,18.6万円,"新築
7階建",東京メトロ半蔵門線/押上駅 歩10分
東京メトロ有楽町線 小竹向原駅 4階建 新築,東京都練馬区小竹町２,2DK,15万円,"新築
4階建",東京メトロ有楽町線/小竹向原駅 歩2分
クレストコート蔵前レジデンス,東京都台東区駒形２,2LDK,18.3万円,"新築
15階建",都営大江戸線/蔵前駅 歩2分
ＪＲ山手線 池袋駅 9階建 築8年,東京都豊島区池袋本町１,2DK,17.9万円,"築8年
9階建",ＪＲ山手線/池袋駅 歩10分
デュオステージ新高円寺,東京都杉並区梅里１,2DK,17.4万円,"築4年
12階建",東京メトロ丸ノ内線/新高円寺駅 歩3分
東京メトロ丸ノ内線 新高円寺駅 12階建 築4年,東京都杉並区梅里１,2DK,17.4万円,"築4年
12階建",東京メトロ丸ノ内線/新高円寺駅 歩3分
クレストコート押上ノース,東京都墨田区向島４,2LDK,20万円,"築2年
9階建",都営浅草線/押上駅 歩5分
東急池上線 蓮沼駅 8階建 築14年,東京都大田区東矢口３,2DK,13万円,"築14年
8階建",東急池上線/蓮沼駅 歩2分
ファインクレスト赤羽,東京都北区赤羽２,2LDK,16.9万円,"築6年
7階建",ＪＲ埼京線/赤羽駅 歩6分
ＪＲ京浜東北線 赤羽駅 7階建 築6年,東京都北区赤羽２,2LDK,16.9万円,"築6年
7階建",ＪＲ京浜東北線/赤羽駅 歩5分
RJRプレシア菊川駅前,東京都墨田区菊川３,2LDK,19.5万円,"築3年
11階建",都営新宿線/菊川駅 歩3分
都営浅草線 蔵前駅 13階建 新築,東京都台東区蔵前３,2LDK,19万円,"新築
13階建",都営浅草線/蔵前駅 歩3分
東京メトロ半蔵門線 押上駅 7階建 新築,東京都墨田区京島２,2LDK,18.6万円,"新築
7階建",東京メトロ半蔵門線/押上駅 歩10分
バロンドール,東京都練馬区桜台２,2LDK,15.6万円,"築12年
2階建",東京メトロ副都心線/氷川台駅 歩7分
西武新宿線 下落合駅 7階建 新築,東京都新宿区上落合１,2DK,13.5万円,"新築
7階建",西武新宿線/下落合駅 歩5分
プライムブリス新宿上落合,東京都新宿区上落合１,2DK,13.5万円,"新築
7階建",西武新宿線/下落合駅 歩5分
ルーブル赤羽台,東京都北区赤羽台３,2LDK,20万円,"築6年
5階建",ＪＲ京浜東北線/赤羽駅 歩7分
グランドコンシェルジュ西巣鴨アジールコート,東京都北区滝野川７,2LDK,18.2万円,"築9年
13階建",都営三田線/西巣鴨駅 歩5分
リバーパーク門前仲町,東京都江東区佐賀１,2LDK,19.5万円,"築7年
8階建",都営大江戸線/門前仲町駅 歩10分
MIJ　西新井大師西,東京都足立区谷在家２,2SLDK,13.2万円,"新築
3階建",日暮里・舎人ライナー/西新井大師西駅 歩6分
Ciel Azur（シエル　アジュール）,東京都荒川区西尾久５,2K,6.9万円,"新築
3階建",都電荒川線/荒川遊園地前駅 歩3分
バウスステージ練馬豊玉,東京都練馬区豊玉中３,2LDK,17.1万円,"新築
5階建",西武池袋線/練馬駅 歩9分
パークフレア,東京都練馬区北町８,2LDK,16.5万円,"新築
3階建",東京メトロ有楽町線/地下鉄赤塚駅 歩6分
ＪＲ山手線 田端駅 10階建 築12年,東京都北区田端新町３,2LDK,18万円,"築12年
10階建",ＪＲ山手線/田端駅 歩9分
メイクスデザイン田端,東京都北区田端新町３,2LDK,18万円,"築12年
10階建",ＪＲ山手線/田端駅 歩9分
東京メトロ有楽町線 地下鉄赤塚駅 3階建 新築,東京都練馬区北町８,2LDK,16.5万円,"新築
3階建",東京メトロ有楽町線/地下鉄赤塚駅 歩6分
パークアクシス西巣鴨,東京都北区滝野川７,2LDK,20万円,"築13年
13階建",都営三田線/西巣鴨駅 歩6分
都営大江戸線 練馬駅 5階建 新築,東京都練馬区豊玉中３,2LDK,17.1万円,"新築
5階建",都営大江戸線/練馬駅 歩8分
東京メトロ南北線 王子駅 6階建 新築,東京都北区王子３,2LDK,16.8万円,"新築
6階建",東京メトロ南北線/王子駅 歩10分
BRIGHT STAGE,東京都墨田区両国３,2LDK,18.2万円,"築12年
10階建",ＪＲ総武線/両国駅 歩5分
フュージョナル両国DUE,東京都墨田区亀沢２,2LDK,18.5万円,"築12年
8階建",ＪＲ総武線/両国駅 歩10分
ルーブル蒲田十番館,東京都大田区蒲田１,2DK,17.3万円,"築7年
8階建",京急本線/京急蒲田駅 歩8分
ＪＲ京浜東北線 蒲田駅 8階建 築7年,東京都大田区蒲田１,2DK,17.3万円,"築7年
8階建",ＪＲ京浜東北線/蒲田駅 歩8分
ルーブル西蒲田弐番館,東京都大田区東矢口３,2DK,13万円,"築14年
8階建",東急池上線/蓮沼駅 歩2分
東京メトロ半蔵門線 錦糸町駅 15階建 築2年,東京都墨田区江東橋２,2K,9.7万円,"築2年
15階建",東京メトロ半蔵門線/錦糸町駅 歩9分
光が丘レジデンス（仮称）,東京都練馬区田柄４,2LDK,19.4万円,"新築
2階建",東京メトロ有楽町線/地下鉄赤塚駅 歩7分
ＪＲ山手線 高田馬場駅 地下1地上3階建 築15年,東京都新宿区西早稲田２,2DK,13.6万円,"築15年
地下1地上3階建",ＪＲ山手線/高田馬場駅 歩10分
ＣＯＵＲＴ　ＴＡＫＥＴＯＫＵ　II,東京都墨田区立川３,2LDK,18万円,"築5年
7階建",都営新宿線/菊川駅 歩7分
マキシヴ江北アレグリアコート,東京都足立区江北６,2LDK,13.8万円,"築4年
8階建",日暮里・舎人ライナー/西新井大師西駅 歩8分
日神デュオステージ浅草三筋,東京都台東区三筋１,2K,12.5万円,"築15年
14階建",都営大江戸線/新御徒町駅 歩5分
エトワール鷺宮,東京都中野区鷺宮３,2LDK,16.9万円,"築5年
4階建",西武新宿線/鷺ノ宮駅 歩6分
ルミエールS,東京都中野区鷺宮１,2LDK,16.9万円,"築4年
3階建",西武新宿線/都立家政駅 歩6分
東京メトロ丸ノ内線 中野新橋駅 4階建 築3年,東京都中野区本町５,2K,10.45万円,"築3年
4階建",東京メトロ丸ノ内線/中野新橋駅 歩6分
ＪＲ中央線 東中野駅 5階建 新築,東京都中野区東中野５,2K,11.35万円,"新築
5階建",ＪＲ中央線/東中野駅 歩7分
エルスタンザ浅草,東京都台東区浅草６,2K,15.4万円,"築7年
9階建",東武伊勢崎線/浅草駅 歩8分
レジデンス北大塚,東京都豊島区北大塚３,2K,11.45万円,"築2年
9階建",ＪＲ山手線/大塚駅 歩7分
リブリ・桜レジデンス,東京都北区浮間２,2LDK,12.6万円,"築12年
3階建",ＪＲ埼京線/浮間舟渡駅 歩9分
東京メトロ日比谷線 南千住駅 7階建 築4年,東京都荒川区南千住６,2K,9.8万円,"築4年
7階建",東京メトロ日比谷線/南千住駅 歩9分
アークマーク王子,東京都北区王子本町１,2K,10.45万円,"築2年
15階建",ＪＲ京浜東北線/王子駅 歩6分
NOZOMIO梅ヶ丘,東京都世田谷区梅丘２,2LDK,14.5万円,"築8年
3階建",小田急線/豪徳寺駅 歩7分
ガーラ・ヴィスタ水天宮前,東京都江東区佐賀１,2K,10.5万円,"築4年
10階建",都営大江戸線/門前仲町駅 歩10分
ＹＫ　ハイム,東京都大田区南久が原１,2LDK,16.25万円,"築4年
2階建",東急多摩川線/下丸子駅 歩7分
東急多摩川線 下丸子駅 2階建 築4年,東京都大田区南久が原１,2LDK,16.25万円,"築4年
2階建",東急多摩川線/下丸子駅 歩7分
ガーラ練馬グランドステージ,東京都練馬区豊玉中３,2K,8.9万円,"築5年
4階建",西武池袋線/練馬駅 歩7分
Ｓａｋｕｒａ,東京都大田区大森中２,2LDK,17.3万円,"築2年
5階建",京急本線/梅屋敷駅 歩7分
東京メトロ南北線 志茂駅 5階建 築6年,東京都北区赤羽台３,2LDK,20万円,"築6年
5階建",東京メトロ南北線/志茂駅 歩7分
ユニーブル田端新町,東京都北区田端新町２,2LDK,18.6万円,"築10年
13階建",ＪＲ山手線/田端駅 歩8分
ＪＲ山手線 巣鴨駅 12階建 築4年,東京都豊島区巣鴨１,2K,11.75万円,"築4年
12階建",ＪＲ山手線/巣鴨駅 歩2分
雑司ヶ谷プレイス,東京都豊島区高田２,2K,11.95万円,"築1年
4階建",東京メトロ副都心線/雑司が谷駅 歩5分
東京メトロ副都心線 雑司が谷駅 4階建 築1年,東京都豊島区高田２,2K,11.95万円,"築1年
4階建",東京メトロ副都心線/雑司が谷駅 歩6分
ＪＲ横須賀線 西大井駅 5階建 新築,東京都品川区西大井２,2LDK,19.2万円,"新築
5階建",ＪＲ横須賀線/西大井駅 歩7分
東急大井町線 荏原町駅 3階建 築2年,東京都大田区北馬込２,2LDK,18万円,"築2年
3階建",東急大井町線/荏原町駅 歩6分
デルックス池袋,東京都豊島区池袋４,2K,12.2万円,"築3年
13階建",ＪＲ山手線/池袋駅 歩10分
ARKMARK巣鴨sta.,東京都豊島区巣鴨１,2K,11.75万円,"築4年
12階建",ＪＲ山手線/巣鴨駅 歩2分
湘南新宿ライン宇須 西大井駅 6階建 新築,東京都品川区二葉２,2K,11.8万円,"新築
6階建",湘南新宿ライン宇須/西大井駅 歩8分
ヴィルヴィオ三ノ輪,東京都台東区千束３,2K,10.25万円,"築7年
地下1地上9階建",東京メトロ日比谷線/入谷駅 歩9分
都営新宿線 小川町駅 13階建 築7年,東京都千代田区神田美土代町,2K,16万円,"築7年
13階建",都営新宿線/小川町駅 歩4分
西武池袋線 東長崎駅 11階建 築5年,東京都豊島区南長崎５,2LDK,18万円,"築5年
11階建",西武池袋線/東長崎駅 歩1分
エミリブ東長崎,東京都豊島区南長崎５,2LDK,18万円,"築5年
11階建",西武池袋線/東長崎駅 歩1分
ユーレジデンス音羽,東京都文京区音羽１,2K,12.2万円,"築8年
4階建",東京メトロ有楽町線/護国寺駅 歩6分
東京メトロ有楽町線 江戸川橋駅 4階建 築8年,東京都文京区音羽１,2K,12.2万円,"築8年
4階建",東京メトロ有楽町線/江戸川橋駅 歩7分
ラルーチェ三軒茶屋,東京都世田谷区太子堂５,2LDK,19万円,"築3年
2階建",東急田園都市線/三軒茶屋駅 歩8分
東急田園都市線 三軒茶屋駅 3階建 新築,東京都世田谷区若林２,2SLDK,19.2万円,"新築
3階建",東急田園都市線/三軒茶屋駅 歩10分
東急田園都市線 三軒茶屋駅 3階建 新築,東京都世田谷区若林２,2SLDK,19.2万円,"新築
3階建",東急田園都市線/三軒茶屋駅 歩10分
アークマーク中野坂上,東京都中野区東中野１,2K,10.6万円,"築4年
5階建",ＪＲ総武線/東中野駅 歩7分
都営大江戸線 飯田橋駅 10階建 築6年,東京都文京区後楽２,2K,14.4万円,"築6年
10階建",都営大江戸線/飯田橋駅 歩3分
ＪＲ中央線 飯田橋駅 13階建 築1年,東京都文京区関口１,2K,11.25万円,"築1年
13階建",ＪＲ中央線/飯田橋駅 歩15分
ハーモニーレジデンス池袋ウエスト,東京都豊島区西池袋４,2K,10.55万円,"築3年
5階建",西武池袋線/椎名町駅 歩10分
ガーラ・アヴェニュー木場,東京都江東区東陽３,2K,9.7万円,"築5年
13階建",東京メトロ東西線/木場駅 歩5分
グランド・ガーラ大島,東京都江東区大島８,2K,8.65万円,"築6年
8階建",都営新宿線/大島駅 歩5分
都営新宿線 大島駅 8階建 築6年,東京都江東区大島８,2K,8.8万円,"築6年
8階建",都営新宿線/大島駅 歩5分
ＰＡＳＥＯ三軒茶屋II,東京都世田谷区若林２,2LDK,19.2万円,"新築
3階建",東急世田谷線/三軒茶屋駅 歩10分
東急目黒線 大岡山駅 6階建 築3年,東京都目黒区大岡山１,2K,11.5万円,"築3年
6階建",東急目黒線/大岡山駅 歩7分
東京メトロ東西線 木場駅 10階建 築1年,東京都江東区東陽１,2K,11.85万円,"築1年
10階建",東京メトロ東西線/木場駅 歩8分
都営大江戸線 飯田橋駅 15階建 築1年,東京都文京区小石川４,2K,12.55万円,"築1年
15階建",都営大江戸線/飯田橋駅 歩15分
東急目黒線 西小山駅 6階建 築1年,東京都目黒区目黒本町６,2K,11.4万円,"築1年
6階建",東急目黒線/西小山駅 歩8分
PREMIUM CUBE 武蔵小山,東京都目黒区目黒本町６,2K,11.4万円,"新築
6階建",東急目黒線/西小山駅 歩8分
東武東上線 下板橋駅 7階建 新築,東京都豊島区池袋本町２,2K,11.55万円,"新築
7階建",東武東上線/下板橋駅 歩8分
ＧＥＮＯＶＩＡ池袋本町,東京都豊島区池袋本町２,2K,11.55万円,"新築
7階建",東武東上線/下板橋駅 歩8分
東京メトロ東西線 門前仲町駅 7階建 築3年,東京都江東区深川２,2K,10.3万円,"築3年
7階建",東京メトロ東西線/門前仲町駅 歩3分
ＪＲ山手線 池袋駅 5階建 築3年,東京都豊島区西池袋４,2K,10.55万円,"築3年
5階建",ＪＲ山手線/池袋駅 歩14分
コンポジット南雪谷,東京都大田区南雪谷３,2K,9.2万円,"築2年
3階建",東急池上線/雪が谷大塚駅 歩7分
ガーラ・ヒルズ氷川台,東京都練馬区氷川台３,2K,8.6万円,"築6年
5階建",東京メトロ有楽町線/氷川台駅 歩7分
SYFORME東池袋,東京都豊島区東池袋５,2K,12.2万円,"築2年
4階建",東京メトロ有楽町線/東池袋駅 歩4分
東京メトロ南北線 王子駅 14階建 新築,東京都北区豊島１,2K,10.3万円,"新築
14階建",東京メトロ南北線/王子駅 歩6分
東京メトロ有楽町線 東池袋駅 4階建 築2年,東京都豊島区東池袋５,2K,12.2万円,"築2年
4階建",東京メトロ有楽町線/東池袋駅 歩4分
ルネサンスコート高田馬場カルム,東京都新宿区高田馬場４,2K,11.1万円,"築1年
4階建",ＪＲ山手線/高田馬場駅 歩7分
西武新宿線 下落合駅 4階建 新築,東京都新宿区中落合１,2K,11.8万円,"新築
4階建",西武新宿線/下落合駅 歩6分
東京メトロ丸ノ内線 後楽園駅 4階建 新築,東京都文京区春日２,2K,18.7万円,"新築
4階建",東京メトロ丸ノ内線/後楽園駅 歩10分
東京メトロ日比谷線 中目黒駅 3階建 築8年,東京都目黒区上目黒３,2K,15.4万円,"築8年
3階建",東京メトロ日比谷線/中目黒駅 歩3分
都営大江戸線 牛込柳町駅 地下1地上4階建 築10年,東京都新宿区市谷加賀町２,2LDK,19.9万円,"築10年
地下1地上4階建",都営大江戸線/牛込柳町駅 歩8分
ＣＬＡＳＳＥＵＭ飯田橋,東京都新宿区新小川町,2K,14.2万円,"築2年
8階建",ＪＲ中央線/飯田橋駅 歩6分
都営三田線 板橋区役所前駅 16階建 新築,東京都板橋区板橋２,2K,10.6万円,"新築
16階建",都営三田線/板橋区役所前駅 歩3分
AIFLAT品川戸越,東京都品川区戸越４,2K,15.2万円,"新築
14階建",都営浅草線/戸越駅 歩9分
アイレジデンス,東京都新宿区大久保１,2K,13.5万円,"築14年
3階建",東京メトロ副都心線/東新宿駅 歩4分
グレイス新宿御苑,東京都新宿区富久町,2K,13.5万円,"築5年
3階建",東京メトロ副都心線/東新宿駅 歩9分
EAST64,東京都杉並区和田１,2K,12.2万円,"築8年
2階建",東京メトロ丸ノ内線/新中野駅 歩8分
東武東上線 東武練馬駅 5階建 新築,東京都練馬区北町１,2K,10.7万円,"新築
5階建",東武東上線/東武練馬駅 歩7分
ＪＲ総武線 浅草橋駅 11階建 築14年,東京都台東区鳥越１,2LDK,15万円,"築14年
11階建",ＪＲ総武線/浅草橋駅 歩7分
京王線 代田橋駅 15階建 築2年,東京都渋谷区笹塚２,2K,13.7万円,"築2年
15階建",京王線/代田橋駅 歩8分
リテラス渋谷笹塚,東京都渋谷区笹塚２,2K,13.7万円,"築2年
15階建",京王線/代田橋駅 歩8分
都営大江戸線 練馬春日町駅 5階建 築3年,東京都練馬区春日町６,2K,8.35万円,"築3年
5階建",都営大江戸線/練馬春日町駅 歩5分
ラフィスタ練馬春日町,東京都練馬区春日町６,2K,8.35万円,"築3年
5階建",都営大江戸線/練馬春日町駅 歩5分
都営大江戸線 東新宿駅 11階建 築6年,東京都新宿区大久保１,2K,19.5万円,"築6年
11階建",都営大江戸線/東新宿駅 歩3分
スペリオール白金台,東京都港区白金台２,2K,19.9万円,"築8年
地下1地上3階建",都営浅草線/高輪台駅 歩5分
都営大江戸線 牛込神楽坂駅 10階建 築4年,東京都新宿区横寺町,2K,15.4万円,"築4年
10階建",都営大江戸線/牛込神楽坂駅 歩3分
東急池上線 雪が谷大塚駅 地下1地上3階建 築2年,東京都大田区南雪谷３,2K,9.2万円,"築2年
地下1地上3階建",東急池上線/雪が谷大塚駅 歩7分
東京メトロ丸ノ内線 新大塚駅 2階建 築4年,東京都文京区大塚６,2DK,14.5万円,"築4年
2階建",東京メトロ丸ノ内線/新大塚駅 歩8分
ハイツ文京大塚,東京都文京区大塚６,2DK,14.5万円,"築4年
2階建",東京メトロ丸ノ内線/新大塚駅 歩8分
